date,ticker,spot,num_contracts,expirations,call_volume,put_volume,call_oi,put_oi,pc_volume_ratio,pc_oi_ratio,atm_iv,net_gex_total,gamma_magnet_strike,gamma_magnet_gex,gamma_gap_distance,gamma_gap_score,gamma_positive_zone
2026-08-03,META,593.415,1300,2026-08-03|2026-08-05|2026-08-07|2026-08-10,379024,210026,113956,64623,0.5541232217484908,0.5670872968514163,0.5846,41097.93000000001,590.0,12741.387,-3.414999999999964,32.11455266170569,1.0
2026-08-03,MRVL,192.35,746,2026-08-07|2026-08-14|2026-08-21|2026-08-28,48893,27774,241024,164941,0.5680567770437486,0.6843343401486989,1.10295,22712.741,195.0,8023.181,2.6500000000000057,15.675743529270926,1.0
2026-08-03,MSFT,490.055,688,2026-08-03|2026-08-05|2026-08-07|2026-08-10,510192,243509,143451,126518,0.4772889422021513,0.8819596935538965,0.43905,86187.341,480.0,14833.599000000002,-10.055000000000009,14.719727226564014,1.0
2026-08-03,MU,828.87,2074,2026-08-03|2026-08-05|2026-08-07|2026-08-10,635778,379088,143232,272779,0.5962584424122885,1.9044557082216265,1.0133,-3930.221999999999,835.0,4036.794,6.129999999999996,14.181594550936074,0.0
2026-08-03,NFLX,73.0551,536,2026-08-07|2026-08-14|2026-08-21|2026-08-28,105571,32686,607376,318961,0.3096115410482045,0.5251458733963805,0.4089,398913.1229999999,75.0,142040.742,1.944900000000004,8.370162768115474,0.0
2026-08-03,NVDA,207.76,536,2026-08-03|2026-08-05|2026-08-07|2026-08-10,2338153,994346,565747,447256,0.4252698604411259,0.7905583237737009,0.3671999999999999,1342943.628,207.5,534590.324,-0.2599999999999909,47.746674736293095,1.0
2026-08-03,PENG,53.14,208,2026-08-21|2026-09-18|2026-10-16|2026-12-18,1133,890,33712,26121,0.7855251544571933,0.774827954437589,1.20005,-1941.1420000000023,80.0,5105.758000000001,26.86,2.403252425271941,0.0
2026-08-03,QQQ,700.57,1514,2026-08-03|2026-08-04|2026-08-05|2026-08-06,3044476,2823369,253121,448098,0.927374365900733,1.7702916786833174,0.25505,663863.065,700.0,219318.657,-0.57000000000005,43.14639489147759,1.0
2026-08-03,SMH,545.71,1094,2026-08-03|2026-08-05|2026-08-07|2026-08-10,22168,64183,66098,237342,2.895299530855287,3.5907591757693123,0.53855,-28750.500000000007,575.0,2191.498,29.289999999999964,0.4147398466289354,0.0
2026-08-03,SNDK,1293.68,3212,2026-08-07|2026-08-14|2026-08-21|2026-08-28,59404,45478,115246,130201,0.7655713419971719,1.1297658920916995,1.99725,77.47699999999993,1300.0,53.65799999999997,6.319999999999936,41.06652185370384,1.0
