Strike,Net GEX,Timestamp
94.0,-93.26008273176264,2025-05-08 08:37:45.361091
95.0,-1754.2734477996405,2025-05-08 08:37:45.361091
96.0,-648.7437994785104,2025-05-08 08:37:45.361091
97.0,-924.5266335140652,2025-05-08 08:37:45.361091
98.0,-708.0943614867806,2025-05-08 08:37:45.361091
99.0,-1591.0821773737912,2025-05-08 08:37:45.361091
100.0,-7620.730642932284,2025-05-08 08:37:45.361091
101.0,-1380.099393208959,2025-05-08 08:37:45.361091
102.0,-2194.511523831336,2025-05-08 08:37:45.361091
103.0,-2993.832274735356,2025-05-08 08:37:45.361091
104.0,-2568.6774276650103,2025-05-08 08:37:45.361091
105.0,-9509.682212593698,2025-05-08 08:37:45.361091
106.0,-6222.779527227145,2025-05-08 08:37:45.361091
107.0,-4664.853178827129,2025-05-08 08:37:45.361091
108.0,-4956.281464804105,2025-05-08 08:37:45.361091
109.0,-115.6369458789668,2025-05-08 08:37:45.361091
110.0,8548.401632411653,2025-05-08 08:37:45.361091
111.0,10010.251876187049,2025-05-08 08:37:45.361091
112.0,23034.44235807111,2025-05-08 08:37:45.361091
113.0,39392.33890182569,2025-05-08 08:37:45.361091
114.0,9789.965792838437,2025-05-08 08:37:45.361091
115.0,71917.09127718612,2025-05-08 08:37:45.361091
116.0,44294.07247028224,2025-05-08 08:37:45.361091
117.0,19785.73904922734,2025-05-08 08:37:45.361091
118.0,79438.63173455182,2025-05-08 08:37:45.361091
119.0,12288.875110592931,2025-05-08 08:37:45.361091
120.0,62294.53003623731,2025-05-08 08:37:45.361091
121.0,10962.082280066086,2025-05-08 08:37:45.361091
122.0,8758.867164557621,2025-05-08 08:37:45.361091
123.0,10777.237538300997,2025-05-08 08:37:45.361091
124.0,19011.22549754429,2025-05-08 08:37:45.361091
125.0,63152.001391737445,2025-05-08 08:37:45.361091
126.0,8993.432831443542,2025-05-08 08:37:45.361091
127.0,3746.832940359587,2025-05-08 08:37:45.361091
128.0,3652.447988706028,2025-05-08 08:37:45.361091
129.0,2402.4425853338275,2025-05-08 08:37:45.361091
130.0,19331.561073752328,2025-05-08 08:37:45.361091
131.0,1445.9333116348685,2025-05-08 08:37:45.361091
132.0,2283.236309413482,2025-05-08 08:37:45.361091
133.0,2918.767363064572,2025-05-08 08:37:45.361091
134.0,982.4432977080196,2025-05-08 08:37:45.361091
135.0,4439.432098897561,2025-05-08 08:37:45.361091
136.0,726.9228406573153,2025-05-08 08:37:45.361091
137.0,256.9273290877369,2025-05-08 08:37:45.361091
138.0,1369.3064284984086,2025-05-08 08:37:45.361091
139.0,146.88632366557513,2025-05-08 08:37:45.361091
140.0,1585.363686270668,2025-05-08 08:37:45.361091
141.0,75.85003901432898,2025-05-08 08:37:45.361091
142.0,467.819434657749,2025-05-08 08:37:45.361091
143.0,46.62943982202493,2025-05-08 08:37:45.361091
95.0,-416.0284832083648,2025-05-08 11:15:59.244644
96.0,-172.69634812677717,2025-05-08 11:15:59.244644
97.0,-280.3238593282145,2025-05-08 11:15:59.244644
98.0,-239.4725470265626,2025-05-08 11:15:59.244644
99.0,-666.9560478457527,2025-05-08 11:15:59.244644
100.0,-3370.102740848849,2025-05-08 11:15:59.244644
101.0,-655.0240032705119,2025-05-08 11:15:59.244644
102.0,-1057.3728482859758,2025-05-08 11:15:59.244644
103.0,-1558.823567686903,2025-05-08 11:15:59.244644
104.0,-1494.4291408360714,2025-05-08 11:15:59.244644
105.0,-5661.092477861016,2025-05-08 11:15:59.244644
106.0,-3780.586603455742,2025-05-08 11:15:59.244644
107.0,-3036.0628917820304,2025-05-08 11:15:59.244644
108.0,-3362.9596384694405,2025-05-08 11:15:59.244644
109.0,-77.77710414766898,2025-05-08 11:15:59.244644
110.0,5796.652457317181,2025-05-08 11:15:59.244644
111.0,6732.746488772234,2025-05-08 11:15:59.244644
112.0,15589.86300170462,2025-05-08 11:15:59.244644
113.0,27625.230485577747,2025-05-08 11:15:59.244644
114.0,7350.464438921996,2025-05-08 11:15:59.244644
115.0,59167.34275116094,2025-05-08 11:15:59.244644
116.0,40113.86552546365,2025-05-08 11:15:59.244644
117.0,19581.0172062234,2025-05-08 11:15:59.244644
118.0,85050.80391533115,2025-05-08 11:15:59.244644
119.0,14117.228142896858,2025-05-08 11:15:59.244644
120.0,76246.5601421457,2025-05-08 11:15:59.244644
121.0,14147.818881237436,2025-05-08 11:15:59.244644
122.0,11735.525457841644,2025-05-08 11:15:59.244644
123.0,14685.416701680962,2025-05-08 11:15:59.244644
124.0,25858.22866767443,2025-05-08 11:15:59.244644
125.0,84872.6540673704,2025-05-08 11:15:59.244644
126.0,11895.18960170272,2025-05-08 11:15:59.244644
127.0,4844.486787829624,2025-05-08 11:15:59.244644
128.0,4696.914568588002,2025-05-08 11:15:59.244644
129.0,3047.057316313289,2025-05-08 11:15:59.244644
130.0,24381.181556620755,2025-05-08 11:15:59.244644
131.0,1800.4311070999609,2025-05-08 11:15:59.244644
132.0,2801.995187016455,2025-05-08 11:15:59.244644
133.0,3628.360253193,2025-05-08 11:15:59.244644
134.0,1141.3969825086183,2025-05-08 11:15:59.244644
135.0,5274.845037061049,2025-05-08 11:15:59.244644
136.0,888.0092633932514,2025-05-08 11:15:59.244644
137.0,302.0599676303303,2025-05-08 11:15:59.244644
138.0,1601.6800471505942,2025-05-08 11:15:59.244644
139.0,224.39540433599552,2025-05-08 11:15:59.244644
140.0,2077.854664368559,2025-05-08 11:15:59.244644
141.0,78.04745070915118,2025-05-08 11:15:59.244644
142.0,530.2598011081938,2025-05-08 11:15:59.244644
143.0,48.31270627489831,2025-05-08 11:15:59.244644
144.0,56.149027406713394,2025-05-08 11:15:59.244644
95.0,-117.16399440035477,2025-05-08 15:19:19.220826
96.0,-54.27540424993716,2025-05-08 15:19:19.220826
97.0,-94.85073491373684,2025-05-08 15:19:19.220826
98.0,-90.53621377496228,2025-05-08 15:19:19.220826
99.0,-271.90209319213244,2025-05-08 15:19:19.220826
100.0,-1538.1099378617423,2025-05-08 15:19:19.220826
101.0,-328.1797989785893,2025-05-08 15:19:19.220826
102.0,-575.7043112997218,2025-05-08 15:19:19.220826
103.0,-935.6210179261586,2025-05-08 15:19:19.220826
104.0,-941.855955620432,2025-05-08 15:19:19.220826
105.0,-3621.704199432655,2025-05-08 15:19:19.220826
106.0,-2667.792158225422,2025-05-08 15:19:19.220826
107.0,-2287.885476703056,2025-05-08 15:19:19.220826
108.0,-2505.755932117216,2025-05-08 15:19:19.220826
109.0,-60.46756607407588,2025-05-08 15:19:19.220826
110.0,4482.338515472879,2025-05-08 15:19:19.220826
111.0,5116.47014059054,2025-05-08 15:19:19.220826
112.0,11643.47338002338,2025-05-08 15:19:19.220826
113.0,20082.78954014645,2025-05-08 15:19:19.220826
114.0,5423.226665603916,2025-05-08 15:19:19.220826
115.0,45610.93815857069,2025-05-08 15:19:19.220826
116.0,33108.249201021084,2025-05-08 15:19:19.220826
117.0,17450.024565258645,2025-05-08 15:19:19.220826
118.0,81351.2120038691,2025-05-08 15:19:19.220826
119.0,14328.60819499311,2025-05-08 15:19:19.220826
120.0,81480.93402016963,2025-05-08 15:19:19.220826
121.0,15852.776436682036,2025-05-08 15:19:19.220826
122.0,13744.537021616276,2025-05-08 15:19:19.220826
123.0,17851.930689230663,2025-05-08 15:19:19.220826
124.0,32244.09976574685,2025-05-08 15:19:19.220826
125.0,106801.1389483911,2025-05-08 15:19:19.220826
126.0,14872.29556737729,2025-05-08 15:19:19.220826
127.0,5965.731037213308,2025-05-08 15:19:19.220826
128.0,5606.873704602491,2025-05-08 15:19:19.220826
129.0,3503.9889610220084,2025-05-08 15:19:19.220826
130.0,27633.967760513216,2025-05-08 15:19:19.220826
131.0,1942.8078541051727,2025-05-08 15:19:19.220826
132.0,2898.25044319102,2025-05-08 15:19:19.220826
133.0,3589.674793371006,2025-05-08 15:19:19.220826
134.0,1115.5892818029652,2025-05-08 15:19:19.220826
135.0,4611.271237650831,2025-05-08 15:19:19.220826
136.0,735.463920575109,2025-05-08 15:19:19.220826
137.0,237.5037417500046,2025-05-08 15:19:19.220826
138.0,1189.130949459356,2025-05-08 15:19:19.220826
139.0,155.34458220509774,2025-05-08 15:19:19.220826
140.0,1344.302985319592,2025-05-08 15:19:19.220826
141.0,37.94900927537975,2025-05-08 15:19:19.220826
142.0,267.0239484974181,2025-05-08 15:19:19.220826
143.0,24.447756239610563,2025-05-08 15:19:19.220826
144.0,25.669689668233875,2025-05-08 15:19:19.220826
95.0,-117.16399440035477,2025-05-08 23:16:03.265986
96.0,-54.27540424993716,2025-05-08 23:16:03.265986
97.0,-94.85073491373684,2025-05-08 23:16:03.265986
98.0,-90.53621377496228,2025-05-08 23:16:03.265986
99.0,-271.90209319213244,2025-05-08 23:16:03.265986
100.0,-1538.1099378617423,2025-05-08 23:16:03.265986
101.0,-328.1797989785893,2025-05-08 23:16:03.265986
102.0,-575.7043112997218,2025-05-08 23:16:03.265986
103.0,-935.6210179261586,2025-05-08 23:16:03.265986
104.0,-941.855955620432,2025-05-08 23:16:03.265986
105.0,-3621.704199432655,2025-05-08 23:16:03.265986
106.0,-2667.792158225422,2025-05-08 23:16:03.265986
107.0,-2287.885476703056,2025-05-08 23:16:03.265986
108.0,-2505.755932117216,2025-05-08 23:16:03.265986
109.0,-60.46756607407588,2025-05-08 23:16:03.265986
110.0,4482.338515472879,2025-05-08 23:16:03.265986
111.0,5116.47014059054,2025-05-08 23:16:03.265986
112.0,11643.47338002338,2025-05-08 23:16:03.265986
113.0,20082.78954014645,2025-05-08 23:16:03.265986
114.0,5423.226665603916,2025-05-08 23:16:03.265986
115.0,45610.93815857069,2025-05-08 23:16:03.265986
116.0,33108.249201021084,2025-05-08 23:16:03.265986
117.0,17450.024565258645,2025-05-08 23:16:03.265986
118.0,81351.2120038691,2025-05-08 23:16:03.265986
119.0,14328.60819499311,2025-05-08 23:16:03.265986
120.0,81480.93402016963,2025-05-08 23:16:03.265986
121.0,15852.776436682036,2025-05-08 23:16:03.265986
122.0,13744.537021616276,2025-05-08 23:16:03.265986
123.0,17851.930689230663,2025-05-08 23:16:03.265986
124.0,32244.09976574685,2025-05-08 23:16:03.265986
125.0,106801.1389483911,2025-05-08 23:16:03.265986
126.0,14872.29556737729,2025-05-08 23:16:03.265986
127.0,5965.731037213308,2025-05-08 23:16:03.265986
128.0,5606.873704602491,2025-05-08 23:16:03.265986
129.0,3503.9889610220084,2025-05-08 23:16:03.265986
130.0,27633.967760513216,2025-05-08 23:16:03.265986
131.0,1942.8078541051727,2025-05-08 23:16:03.265986
132.0,2898.25044319102,2025-05-08 23:16:03.265986
133.0,3589.674793371006,2025-05-08 23:16:03.265986
134.0,1115.5892818029652,2025-05-08 23:16:03.265986
135.0,4611.271237650831,2025-05-08 23:16:03.265986
136.0,735.463920575109,2025-05-08 23:16:03.265986
137.0,237.5037417500046,2025-05-08 23:16:03.265986
138.0,1189.130949459356,2025-05-08 23:16:03.265986
139.0,155.34458220509774,2025-05-08 23:16:03.265986
140.0,1344.302985319592,2025-05-08 23:16:03.265986
141.0,37.94900927537975,2025-05-08 23:16:03.265986
142.0,267.0239484974181,2025-05-08 23:16:03.265986
143.0,24.447756239610563,2025-05-08 23:16:03.265986
144.0,25.669689668233875,2025-05-08 23:16:03.265986
92.0,-2.0710326208534044,2025-05-09 06:39:52.011279
93.0,-3.726237321165842,2025-05-09 06:39:52.011279
94.0,-8.250084517225446,2025-05-09 06:39:52.011279
95.0,-109.80092583257093,2025-05-09 06:39:52.011279
96.0,-57.1314676196012,2025-05-09 06:39:52.011279
97.0,-93.94162243852531,2025-05-09 06:39:52.011279
98.0,-83.09656564812329,2025-05-09 06:39:52.011279
99.0,-274.42344049547194,2025-05-09 06:39:52.011279
100.0,-1310.936518855062,2025-05-09 06:39:52.011279
101.0,-282.7681519365615,2025-05-09 06:39:52.011279
102.0,-431.1129357344603,2025-05-09 06:39:52.011279
103.0,-697.5275521598167,2025-05-09 06:39:52.011279
104.0,-890.5667699183292,2025-05-09 06:39:52.011279
105.0,-2690.242100545352,2025-05-09 06:39:52.011279
106.0,-2392.825032434894,2025-05-09 06:39:52.011279
107.0,-3315.000020499535,2025-05-09 06:39:52.011279
108.0,-2977.768100931011,2025-05-09 06:39:52.011279
109.0,-1881.8987400605447,2025-05-09 06:39:52.011279
110.0,-4643.453429898154,2025-05-09 06:39:52.011279
111.0,336.3453039902315,2025-05-09 06:39:52.011279
112.0,-51.09709745096916,2025-05-09 06:39:52.011279
113.0,156.3912182234817,2025-05-09 06:39:52.011279
114.0,-2868.31460580308,2025-05-09 06:39:52.011279
115.0,14560.113165276576,2025-05-09 06:39:52.011279
116.0,568.0742408304468,2025-05-09 06:39:52.011279
117.0,-4776.221064507958,2025-05-09 06:39:52.011279
118.0,43756.61976948737,2025-05-09 06:39:52.011279
119.0,4759.205568918234,2025-05-09 06:39:52.011279
120.0,68044.68570910142,2025-05-09 06:39:52.011279
121.0,24218.31178066894,2025-05-09 06:39:52.011279
122.0,25795.550731640546,2025-05-09 06:39:52.011279
123.0,13958.29971585936,2025-05-09 06:39:52.011279
124.0,31585.798553411223,2025-05-09 06:39:52.011279
125.0,128205.70665637932,2025-05-09 06:39:52.011279
126.0,22103.976190588248,2025-05-09 06:39:52.011279
127.0,12163.308930281191,2025-05-09 06:39:52.011279
128.0,6657.989643304489,2025-05-09 06:39:52.011279
129.0,4650.0716543394,2025-05-09 06:39:52.011279
130.0,25396.086115936097,2025-05-09 06:39:52.011279
131.0,2581.596396393336,2025-05-09 06:39:52.011279
132.0,2584.8387453208647,2025-05-09 06:39:52.011279
133.0,3935.427216163861,2025-05-09 06:39:52.011279
134.0,1294.3945325449038,2025-05-09 06:39:52.011279
135.0,4473.051035847077,2025-05-09 06:39:52.011279
136.0,832.6356539037416,2025-05-09 06:39:52.011279
137.0,228.2158859273787,2025-05-09 06:39:52.011279
138.0,1187.4410428518815,2025-05-09 06:39:52.011279
139.0,153.3122736889231,2025-05-09 06:39:52.011279
140.0,1370.0909229151275,2025-05-09 06:39:52.011279
141.0,205.16975504673573,2025-05-09 06:39:52.011279
93.0,-3.726237321165842,2025-05-09 06:51:39.264970
94.0,-8.250084517225446,2025-05-09 06:51:39.264970
95.0,-109.80092583257093,2025-05-09 06:51:39.264970
96.0,-57.1314676196012,2025-05-09 06:51:39.264970
97.0,-93.94162243852531,2025-05-09 06:51:39.264970
98.0,-83.09656564812329,2025-05-09 06:51:39.264970
99.0,-274.42344049547194,2025-05-09 06:51:39.264970
100.0,-1310.936518855062,2025-05-09 06:51:39.264970
101.0,-282.7681519365615,2025-05-09 06:51:39.264970
102.0,-431.1129357344603,2025-05-09 06:51:39.264970
103.0,-697.5275521598167,2025-05-09 06:51:39.264970
104.0,-890.5667699183292,2025-05-09 06:51:39.264970
105.0,-2690.242100545352,2025-05-09 06:51:39.264970
106.0,-2392.825032434894,2025-05-09 06:51:39.264970
107.0,-3315.000020499535,2025-05-09 06:51:39.264970
108.0,-2977.768100931011,2025-05-09 06:51:39.264970
109.0,-1881.8987400605447,2025-05-09 06:51:39.264970
110.0,-4643.453429898154,2025-05-09 06:51:39.264970
111.0,336.3453039902315,2025-05-09 06:51:39.264970
112.0,-51.09709745096916,2025-05-09 06:51:39.264970
113.0,156.3912182234817,2025-05-09 06:51:39.264970
114.0,-2868.31460580308,2025-05-09 06:51:39.264970
